ip= 1 ,W-index= 17.2 ,Rc(GV)= 4.381 ,depth(g/cm2)= 1033.23 ,g= 0.15
Total Flux (/cm2/s)= 0.000349646
  Energy(MeV/n)              u              v              w              x              y              z
   9.151034e+01  -4.711091e-01   6.555225e-02  -8.796358e-01   6.244136e+01  -9.388798e+01   7.324479e+01
   2.226606e+04  -2.674765e-01  -5.468667e-02  -9.620113e-01  -1.079569e+01   6.885072e+01   1.030366e+02
   1.313327e+02  -5.399707e-01  -8.416020e-01   1.173530e-02   5.504328e+01   8.273612e+01  -5.516295e+01
   1.851681e+02  -1.385256e-01   1.078316e-01  -9.844709e-01   6.898666e+01  -1.961107e+01   8.972219e+01
   3.712283e+02  -6.459727e-01  -1.186914e-01  -7.540766e-01   5.886523e+01   5.645819e+01   7.329967e+01
   1.329773e+02  -4.654798e-03  -5.326216e-01  -8.463407e-01   8.054913e+00  -1.809545e+01   1.294993e+02
   3.101097e+01   8.735619e-01   4.053164e-01  -2.694591e-01  -1.176211e+02   2.682579e+01   3.014790e+01
   5.006454e+01   9.143863e-01  -1.753980e-01  -3.648744e-01  -1.043834e+02   3.717753e+01  -5.392611e+00
   2.646267e+01  -2.354126e-01  -2.042655e-01  -9.501876e-01  -4.264190e+01   3.981702e+01   1.072475e+02
   1.967315e+02  -4.443902e-01  -2.826398e-02  -8.953874e-01   4.204224e+00  -5.942013e+00   1.097845e+02
   1.949778e+02   8.314918e-01  -1.535091e-01  -5.339067e-01  -6.777118e+01  -4.981412e+01   9.607623e+01
   1.708344e+02   9.804049e-02   4.469009e-01  -8.891950e-01   6.812205e+00  -8.952893e+00   1.087127e+02
   1.321982e+02   2.841905e-01  -8.427677e-01   4.571414e-01  -3.481458e+01   4.497833e+01  -1.141873e+02
   1.881790e+03   1.688333e-01  -1.016899e-01  -9.803849e-01   5.367013e+01  -5.284321e+01   1.167245e+02
   1.308452e+02   5.398516e-02   4.528058e-02  -9.975145e-01   1.038220e+01  -3.365833e+01   9.928318e+01
   3.136640e+01   1.445131e-01   5.088001e-01   8.486686e-01  -6.462002e+01  -1.126332e+02  -3.930130e+01
   1.391378e+04  -5.612113e-02   4.662735e-01  -8.828587e-01   7.929597e+01  -8.164547e+01   6.510748e+01
   3.663694e+03  -6.561003e-02  -2.709791e-01  -9.603466e-01   2.135106e+01  -3.710067e+01   1.131390e+02
   9.311572e+02   2.519213e-01  -7.733695e-02  -9.646526e-01  -7.194464e+00   3.721317e+01   9.880200e+01
   2.759387e+02   4.194728e-01   3.982263e-01  -8.157563e-01   4.477447e+00  -6.731552e+01   9.202669e+01
   6.656122e+02   2.674181e-01  -3.115634e-02  -9.630768e-01   9.067486e+00   8.942631e+01   1.034586e+02
   9.888328e+02   5.747353e-01  -6.162044e-01  -5.384900e-01  -1.003126e+02   3.844331e+01   3.464849e+01
   4.139322e+02   9.820037e-02  -3.104691e-02  -9.946822e-01   7.383368e+01   1.586773e+01   1.073286e+02
   9.133614e+01   8.832280e-02  -2.312817e-01  -9.688694e-01  -4.018155e+01   1.192457e+01   9.670356e+01
   4.889212e+03  -4.363379e-01  -4.872653e-01  -7.564270e-01   5.176282e-01   8.631582e+01   7.630008e+01
   1.311245e+03  -5.832221e-01  -7.754478e-01  -2.419352e-01   5.035129e+01   9.525901e+01  -1.336879e+01
   1.146769e+04   2.875774e-02   2.275492e-01  -9.733418e-01  -6.986357e+00  -8.842553e+00   1.004652e+02
   9.598350e+02   9.505659e-02   1.279527e-01  -9.872144e-01  -3.562862e+01  -2.767457e+01   9.427762e+01
   3.671629e+01  -5.557932e-01  -1.073527e-01  -8.243600e-01   1.445634e+01  -4.572271e+01   1.175139e+02
   2.031168e+02  -3.952761e-01  -7.596216e-01  -5.164609e-01   5.153577e+01   2.272859e+01   1.207526e+02
   1.459326e+01   4.801686e-01  -8.651260e-01   1.448966e-01  -1.841487e+01   1.143625e+02   5.369471e+01
